vulnerability_id,system,severity,discovered_date,status,remediated_date,evidence_id,evidence_date,exception_id,exception_expiry,exception_approved_by
CVE-2026-1001,payment-api-01,CRITICAL,2026-09-01,REMEDIATED,2026-09-15,CHG-1042,2026-09-15,,,
CVE-2026-1002,checkout-web-02,CRITICAL,2026-07-20,OPEN,,,,,,
CVE-2026-1003,db-prod-01,HIGH,2026-07-01,ACCEPTED_RISK,,SCAN-883,2026-09-10,EXC-77,2026-10-31,CISO
CVE-2026-1004,legacy-app-01,CRITICAL,2026-07-01,ACCEPTED_RISK,,SCAN-700,2026-09-01,EXC-44,2026-08-31,CISO
CVE-2026-1005,internal-tool-01,MEDIUM,2026-06-01,OPEN,,SCAN-500,2026-09-20,,,
CVE-2026-1006,auth-service-01,HIGH,2026-09-10,REMEDIATED,2026-09-18,CHG-1099,2026-08-01,,,
CVE-2026-1007,web-app-03,HIGH,2026-08-01,REMEDIATED,2026-09-10,CHG-1100,2026-09-10,,,
CVE-2026-1008,card-worker-01,CRITICAL,2026-09-05,REMEDIATED,2026-09-19,CHG-1101,2026-09-19,,,
CVE-2026-1009,card-worker-02,CRITICAL,2026-08-01,REMEDIATED,2026-09-10,CHG-1102,2026-09-10,,,
CVE-2026-1010,billing-api-01,HIGH,2026-08-20,OPEN,,SCAN-901,2026-09-21,,,
CVE-2026-1011,reporting-db-01,HIGH,2026-08-25,REMEDIATED,,CHG-1110,2026-09-20,,,
CVE-2026-1012,token-service-01,CRITICAL,,OPEN,,SCAN-920,2026-09-21,,,
CVE-2026-1013,portal-web-01,HIGH,2026-09-05,REMEDIATED,2026-09-18,CHG-1120,2026-09-25,,,
CVE-2026-1014,analytics-worker-01,MEDIUM,2026-07-01,REMEDIATED,2026-08-15,CHG-1130,2026-08-15,,,
CVE-2026-1015,inventory-api-01,MEDIUM,2026-05-01,OPEN,,SCAN-930,2026-09-15,,,
CVE-2026-1016,archive-service-01,LOW,2026-04-01,REMEDIATED,2026-08-01,CHG-1140,2026-08-01,,,
CVE-2026-1017,legacy-reporting-01,LOW,2026-01-01,OPEN,,SCAN-940,2026-09-18,,,
CVE-2026-1018,customer-portal-02,MEDIUM,2026-05-15,ACCEPTED_RISK,,SCAN-950,2026-09-20,EXC-95,2026-12-31,CISO
CVE-2026-1019,batch-runner-01,LOW,2026-03-01,REMEDIATED,2026-09-10,CHG-1150,2026-09-10,,,
