vulnerability_id,system,severity,status,control_id,control_name,days_to_remediate_or_open,remediation_sla_days,evidence_id,evidence_status,exception_id,reason_code,reason_description,framework,framework_requirement,requirement_title
CVE-2026-1001,payment-api-01,CRITICAL,PASS,VM-01,Timely vulnerability remediation,14,30,CHG-1042,CURRENT,,,,PCI DSS v4.0.1,6.3.3,Applicable security patches and updates are installed
CVE-2026-1001,payment-api-01,CRITICAL,PASS,VM-01,Timely vulnerability remediation,14,30,CHG-1042,CURRENT,,,,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1002,checkout-web-02,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,64,30,,MISSING,,REMEDIATION_SLA_EXCEEDED,The vulnerability exceeded the configured remediation SLA.,PCI DSS v4.0.1,6.3.3,Applicable security patches and updates are installed
CVE-2026-1002,checkout-web-02,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,64,30,,MISSING,,REMEDIATION_SLA_EXCEEDED,The vulnerability exceeded the configured remediation SLA.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1002,checkout-web-02,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,64,30,,MISSING,,MISSING_EVIDENCE,No complete evidence ID and evidence date were supplied.,PCI DSS v4.0.1,6.3.3,Applicable security patches and updates are installed
CVE-2026-1002,checkout-web-02,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,64,30,,MISSING,,MISSING_EVIDENCE,No complete evidence ID and evidence date were supplied.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1002,checkout-web-02,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,64,30,,MISSING,,OPEN_ITEM_WITHOUT_EXCEPTION,The open overdue item does not have a valid approved exception.,PCI DSS v4.0.1,6.3.3,Applicable security patches and updates are installed
CVE-2026-1002,checkout-web-02,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,64,30,,MISSING,,OPEN_ITEM_WITHOUT_EXCEPTION,The open overdue item does not have a valid approved exception.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1003,db-prod-01,HIGH,EXCEPTION,VM-01,Timely vulnerability remediation,83,60,SCAN-883,CURRENT,EXC-77,REMEDIATION_SLA_EXCEEDED,The vulnerability exceeded the configured remediation SLA.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1004,legacy-app-01,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,83,30,SCAN-700,CURRENT,EXC-44,REMEDIATION_SLA_EXCEEDED,The vulnerability exceeded the configured remediation SLA.,PCI DSS v4.0.1,6.3.3,Applicable security patches and updates are installed
CVE-2026-1004,legacy-app-01,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,83,30,SCAN-700,CURRENT,EXC-44,REMEDIATION_SLA_EXCEEDED,The vulnerability exceeded the configured remediation SLA.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1004,legacy-app-01,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,83,30,SCAN-700,CURRENT,EXC-44,EXCEPTION_EXPIRED,The exception expired before the assessment date.,PCI DSS v4.0.1,6.3.3,Applicable security patches and updates are installed
CVE-2026-1004,legacy-app-01,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,83,30,SCAN-700,CURRENT,EXC-44,EXCEPTION_EXPIRED,The exception expired before the assessment date.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1004,legacy-app-01,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,83,30,SCAN-700,CURRENT,EXC-44,OPEN_ITEM_WITHOUT_EXCEPTION,The open overdue item does not have a valid approved exception.,PCI DSS v4.0.1,6.3.3,Applicable security patches and updates are installed
